country,viability_score,grade
USA,0.7931250000000001,A+
Singapore,0.7809999999999999,A+
Switzerland,0.768625,A+
Germany,0.75175,A+
Poland,0.72875,A
Canada,0.726,A
China,0.7258749999999999,A
United Arab Emirates,0.7248750000000002,A
Italy,0.7215,A
France,0.712125,A
Spain,0.7085,A
Australia,0.686875,A
Netherlands,0.67375,B
Japan,0.65875,B
Türkiye,0.6511250000000001,B
Sweden,0.629125,B
Viet Nam,0.62775,B
United Kingdom,0.620375,B
Rep. of Korea,0.6171249999999999,B
Belgium,0.6151249999999999,B
Norway,0.6135,B
India,0.595875,B
Mexico,0.59075,B
Malaysia,0.5806250000000001,B
Brazil,0.571,C
Saudi Arabia,0.56575,C
Chile,0.523125,C
Oman,0.5045,C
Indonesia,0.50075,C
Thailand,0.49687500000000007,C
Bahrain,0.4800000000000001,C
Qatar,0.47312499999999996,C
Morocco,0.4706250000000001,D
Egypt,0.4632500000000001,D
Algeria,0.40687500000000004,D
South Africa,0.4034999999999999,D
Kuwait,0.39299999999999996,D
Jordan,0.37350000000000005,D
Tunisia,0.32750000000000007,D
Lebanon,0.27762500000000007,D
